cohort,area,k,A,linf,k_lwr,k_upr,temp,model,n
1953,JM,0.22969465010254614,41.481851432246636,294.9204244179303,0.22969465010254614,0.22969465010254614,9.001663994574214,area model,181
1954,JM,0.23862294604171397,42.5188132840139,287.5272193570564,0.23862294604171397,0.23862294604171397,8.816277570468515,area model,196
1955,JM,0.2513773771788201,43.664150060387115,276.20013196900214,0.2513773771788201,0.2513773771788201,9.112563947201362,area model,469
1956,JM,0.27290818929705646,46.813805025990824,270.9218518171182,0.27290818929705646,0.27290818929705646,8.060924729208379,area model,630
1957,JM,0.27362304041491353,47.76856239944449,272.7466419716401,0.27362304041491353,0.27362304041491353,8.678902175519761,area model,833
1958,JM,0.2901309053505735,47.192058483480864,250.97231074286114,0.2901309053505735,0.2901309053505735,8.42435262434206,area model,867
1959,JM,0.2800582177494144,44.79216684187608,242.64416697018254,0.2800582177494144,0.2800582177494144,9.717192861996647,area model,1761
1960,JM,0.2862069574739716,43.798788123513845,240.53977436716227,0.2862069574739716,0.2862069574739716,8.678903553869588,area model,959
1961,JM,0.2663541859437506,45.30745749436312,261.504624524979,0.2663541859437506,0.2663541859437506,9.599698644272191,area model,604
1962,JM,0.29865132774761766,47.09086422286408,249.9205041542681,0.29865132774761766,0.29865132774761766,8.498462824367508,area model,420
1963,FM,0.14482356055383833,36.642033594417434,369.41772234858536,0.14482356055383833,0.14482356055383833,8.872394163590663,area model,179
1963,JM,0.25316895889177415,42.57929389039402,270.67470568072497,0.25316895889177415,0.25316895889177415,8.694608702379378,area model,641
1964,FM,0.19664264349328184,39.66046536884936,317.1303038263434,0.19664264349328184,0.19664264349328184,8.461867717416085,area model,239
1964,JM,0.31333097739068955,47.65739125366634,231.22308755799503,0.31333097739068955,0.31333097739068955,8.401698448269176,area model,406
1965,FM,0.20040746060633632,38.84013046759953,303.2543099995834,0.20040746060633632,0.20040746060633632,8.432306418729238,area model,266
1965,JM,0.2349069798569177,42.95992624685363,283.99889686817573,0.2349069798569177,0.2349069798569177,8.385786670932351,area model,409
1966,FM,0.2209116907825534,42.131267158634095,299.5490499621254,0.2209116907825534,0.2209116907825534,8.42893034876196,area model,396
1966,JM,0.24180793134903122,43.28766865845598,273.19862688952213,0.24180793134903122,0.24180793134903122,8.404859631371645,area model,358
1967,FM,0.18367899463716353,38.894903501627944,326.9801519182644,0.18367899463716353,0.18367899463716353,9.25314348801699,area model,563
1967,JM,0.22482440105989548,41.107358111560174,279.4729530363674,0.22482440105989548,0.22482440105989548,9.25845439043938,area model,460
1967,SI_HA,0.17446668099870535,38.675240344718745,324.37847752970697,0.17446668099870535,0.17446668099870535,8.541907601495588,area model,220
1968,FM,0.18744756401307097,41.09896327986129,331.40791424091475,0.18744756401307097,0.18744756401307097,8.965131049434309,area model,1543
1968,JM,0.2387298996316004,42.486520592085974,268.4476879693453,0.2387298996316004,0.2387298996316004,8.971408901255788,area model,733
1968,SI_EK,0.2360626132636149,46.84615031532684,283.30699553722036,0.2360626132636149,0.2360626132636149,8.155982193827176,area model,157
1968,SI_HA,0.24074046281959877,42.898745234498094,287.27074786949805,0.24074046281959877,0.24074046281959877,8.155982193827176,area model,535
1969,FB,0.23966811117222858,39.32932776565973,266.4971250387558,0.23966811117222858,0.23966811117222858,8.134073199611013,area model,96
1969,FM,0.2271723501688867,44.0473240519138,293.7323850459301,0.2271723501688867,0.2271723501688867,8.826230440754156,area model,941
1969,JM,0.2297479644891588,41.842972532592015,278.32994617297027,0.2297479644891588,0.2297479644891588,8.912532472105145,area model,715
1969,SI_EK,0.17074620405068638,37.108804235274384,334.3586369704644,0.17074620405068638,0.17074620405068638,8.313522495453418,area model,245
1969,SI_HA,0.19723734245277924,40.47477606281315,316.14855126099525,0.19723734245277924,0.19723734245277924,8.313522495453418,area model,511
1970,FB,0.23404556442836258,41.93336412084818,275.1499573368455,0.23404556442836258,0.23404556442836258,7.841569826507752,area model,266
1970,FM,0.23701608827959364,43.38931995993671,286.022836959216,0.23701608827959364,0.23701608827959364,8.575130007072879,area model,575
1970,JM,0.22546238827268952,42.33493963654673,285.07552282465855,0.22546238827268952,0.22546238827268952,8.553822378199575,area model,330
1970,SI_EK,0.20968309378293237,41.989400318403945,331.4461319228001,0.20968309378293237,0.20968309378293237,7.82645656625211,area model,126
1970,SI_HA,0.2352913108193732,43.95841632227564,295.6393586049643,0.2352913108193732,0.2352913108193732,7.82645656625211,area model,304
1971,FB,0.2908245782455102,43.83173242085658,257.6179690773911,0.2908245782455102,0.2908245782455102,7.879074797754759,area model,288
1971,FM,0.20094483514720507,41.62804826986405,322.56104667238344,0.20094483514720507,0.20094483514720507,8.610077257068482,area model,1229
1971,JM,0.23400133594399639,42.91450107185401,286.7587864440255,0.23400133594399639,0.23400133594399639,8.745864128446692,area model,613
1971,SI_EK,0.2159002042610662,40.78318390538645,276.7759816345346,0.2159002042610662,0.2159002042610662,8.111721360383617,area model,108
1971,SI_HA,0.2204133399540868,42.65801374998874,309.8308815810992,0.2204133399540868,0.2204133399540868,8.111721360383617,area model,313
1972,BT,0.244088050456692,45.60886480954412,292.5893084112791,0.244088050456692,0.244088050456692,9.109436219792604,area model,422
1972,FB,0.32356546366686356,49.06977383417206,224.81623297298165,0.32356546366686356,0.32356546366686356,8.386402555157312,area model,745
1972,FM,0.24686666419849354,46.58529432913641,293.8348206619054,0.24686666419849354,0.24686666419849354,9.109436219792604,area model,3884
1972,JM,0.20311397179486487,41.974155689080554,315.52730102003017,0.20311397179486487,0.20311397179486487,8.91810499380207,area model,770
1972,SI_EK,0.19654799106959023,43.4314499590586,338.2386139172402,0.19654799106959023,0.19654799106959023,8.682438814843675,area model,162
1972,SI_HA,0.1830735292473892,42.25632939516355,357.7777418595806,0.1830735292473892,0.1830735292473892,8.682438814843675,area model,333
1973,BT,0.24836457200422019,45.163020362930624,276.8863178683664,0.24836457200422019,0.24836457200422019,9.469727905751936,area model,635
1973,FB,0.3511917660443846,49.13507710999225,213.99939469916612,0.3511917660443846,0.3511917660443846,8.706856724286709,area model,766
1973,FM,0.26688072230486315,46.56708702765036,266.3694914313996,0.26688072230486315,0.26688072230486315,9.469727905751936,area model,1235
1973,JM,0.23254120346180646,44.01920422636634,295.8324259863829,0.23254120346180646,0.23254120346180646,7.10974139236452,area model,450
1973,SI_EK,0.1867429303152317,40.991750090648104,339.6658882790397,0.1867429303152317,0.1867429303152317,8.777483734508833,area model,164
1973,SI_HA,0.1647085650848628,41.8208877018068,388.8205280635039,0.1647085650848628,0.1647085650848628,12.6863173785524,area model,172
1974,BT,0.20456968062801442,40.028794069706954,301.6353816187154,0.20456968062801442,0.20456968062801442,9.329642201226624,area model,408
1974,FB,0.3120346153661718,45.76545649771801,227.1026646212734,0.3120346153661718,0.3120346153661718,8.685763232113677,area model,619
1974,FM,0.27356407023095425,46.17087573858262,263.4036656303225,0.27356407023095425,0.27356407023095425,9.329642201226624,area model,2358
1974,JM,0.24320408784660646,44.73671375793236,288.39355562265797,0.24320408784660646,0.24320408784660646,5.700937084593352,area model,491
1974,SI_EK,0.2060105531603922,44.80012496037982,336.3588442116085,0.2060105531603922,0.2060105531603922,8.446954823543967,area model,182
1974,SI_HA,0.1772337868153797,39.805490913510916,358.8551419560818,0.1772337868153797,0.1772337868153797,10.005467989372791,area model,208
1975,BT,0.19718703615116495,39.13394998722519,292.7604963261334,0.19718703615116495,0.19718703615116495,7.712279065496811,area model,452
1975,FB,0.2672057079611235,40.84163969370278,236.7561045349598,0.2672057079611235,0.2672057079611235,9.186953759538602,area model,498
1975,FM,0.2421888164152019,44.07431948934457,280.95776506028,0.2421888164152019,0.2421888164152019,7.712279065496811,area model,941
1975,JM,0.24987526076206903,47.0518756886449,296.43181771211067,0.24987526076206903,0.24987526076206903,7.994504439767288,area model,574
1975,SI_EK,0.2692315563441841,47.02135781852991,267.9774048879247,0.2692315563441841,0.2692315563441841,9.12889532918058,area model,236
