area,n_cohort,min_cohort,max_cohort,n_individuals,n_data_points
BS,18,1985,1985,2370,11832
BT,27,1972,1972,1882,9055
FB,48,1969,1969,8678,47933
FM,38,1963,1963,6704,39230
HO,34,1982,1982,2711,12454
JM,63,1953,1953,7738,40229
MU,19,1981,1981,1920,9930
RA,15,1985,1985,1205,5654
SI_EK,35,1968,1968,1396,6523
SI_HA,41,1967,1967,2991,15143
TH,5,2000,2000,85,340
