57FMABBO0200177720167  206 64112153184206
57FMABBO0200177730169  177 65112152177
57FMABBO0200177720170  192 62109144173192
57FMABBO0200177720171  227 65116160198227
57FMABBO0200177720172  215 58123155194215
57FMABBO0200177710173  206 50 96131169191206
57FMABBO0200177720175  213 61103152190213
57FMABBO0200177720176  206 66114142183206
57FMABBO0200177720177  227 61122168207227
57FMABBO0200177720178  224 67127174206224
57FMABBO0200177710180  237 51 89142186214237
57FMABBO0200177720181  227 69132172210227
57FMABBO0200177720182  223 66119169205223
57FMABBO0200177720183  216 69128166201216
57FMABBO0200177700184  246 62107138169192224246
57FMABBO0200177720185  235 64123168207235
57FMABBO0200177720186  216 59 87129185216
57FMABBO0200177720187  209 58104150187209
57FMABBO0200177720188  219 67106151197219
57FMABBO0200177720189  228 77133170209228
57FMABBO0200177720190  202 69 92114170202
57FMABBO0200177720191  220 70103151187220
57FMABBO0200177720192  211 54110159192211
57FMABBO0200177720193  188 62104135174188
57FMABBO0200177720194  245 84133186228245
57FMABBO0200177720195  242 75132190226242
57FMABBO0200177720196  230 62116163204230
57FMABBO0200177720197  227 56115162203227
57FMABBO0200177710198  215 47 85128165195215
57FMABBO0200177720199  213 69125163196213
57FMABBO0200177720200  220 67100137188220
57FMABBO0200177720201  214 60125163197214
57FMABBO0200177710202  210 53 89119159187210
57FMABBO0200177720203  198 57112154184198
57FMABBO0200177720204  207 58105143190207
57FMABBO0200177720205  219 66112164199219
57FMABBO0200177720206  232 80133173207232
57FMABBO0200177700207  227 62120145172189205227
57FMABBO0200177720208  204 66125163188204
57FMABBO0200177720209  213 65114160197213
57FMABBO0200277720210  232 70105159204232
57FMABBO0200277720211  217 68115168203217
57FMABBO0200277720212  202 67115154186202
57FMABBO0200277720213  207 61120157187207
57FMABBO0200277680214  221 56 85114129159182198211221
57FMABBO0200277720215  216 72114156200216
57FMABBO0200277720216  214 53121162194214
57FMABBO0200277730217  194 51128168194
57FMABBO0200277720218  217 58117162195217
57FMABBO0200277720219  204 65111148181204
57FMABBO0200277720220  215 56 95141171215
57FMABBO0200277720221  207 64110150191207
57FMABBO0200277720242  223 75129168204223
57FMABBO0200277720243  223 65119159200223
57FMABBO0200277720244  209 62105147186209
57FMABBO0200277720245  212 63102153189212
57FMABBO0200277720246  227 66122165204227
57FMABBO0200277730247  198 64127165198
57FMABBO0200277710248  241 51114144182217241
57FMABBO0200277720249  231 80131168208231
57FMABBO0200277720250  225 77129169205225
57FMABBO0200277700251  227 70112148175191210227
57FMABBO0200277720222  212 66119156188212
57FMABBO0200277720223  230 69124164200230
57FMABBO0200277720224  193 70 95135169193
57FMABBO0200277700225  246 68128173201215236246
57FMABBO0200277710226  225 67114146170207225
57FMABBO0200277720227  206 71112160194206
57FMABBO0200277720228  221 83133173207221
57FMABBO0200277720229  223 64120175204223
57FMABBO0200277720230  227 68123164204227
57FMABBO0200277720231  178 57103129160178
57FMABBO0200277730232  179 65116154179
57FMABBO0200277720233  185 57118151163185
57FMABBO0200277720234  212 61104148188212
57FMABBO0200277720235  192 65110145175192
57FMABBO0200277720236  203 61128170190203
57FMABBO0200277710237  224 62 95123168198224
57FMABBO0200277720238  204 54107151180204
57FMABBO0200277720239  207 67107140183207
57FMABBO0200277710240  203 58 90142169187203
57FMABBO0200277690241  217 60 98131171188201208217
57FMABBO0200277720252  216 61117154193216
57FMABBO0200277720253  221 76130168202221
57FMABBO0200277720254  215 70128165195215
57FMABBO0200277720255  232 74119159209232
57FMABBO0200277710256  250 56 96135186227250
57FMABBO0200277720257  235 59128169212235
57FMABBO0200277720258  198 64127155180198
57FMABBO0200277710259  203 63 95136171193203
57FMABBO0200277720260  214 75116155194214
57FMABBO0200277720261  233 76135177212233
57FMABBO0200277720263  200 56102148180200
57FMABBO0200277710264  237 52 86133188216237
57FMABBO0200277720265  207 69110148180207
57FMABBO0200277730267  184 62120160184
57FMABBO0200277690268  224 59 90117151169184203224
57FMABBO0200277720269  237 82133172214237
57FMABBO0200277720270  227 66124175210227
57FMABBO0200277720271  218 69124160197218
57FMABBO0200277730272  200 61114153200
57FMABBO0200277720273  199 67106144175199
57FMABBO0200277720274  183 65111144168183
57FMABBO0200277720275  228 64128152194228
57FMABBO0200277720276  216 63113159198216
57FMABBO0200277710277  238 59 86135174212238
57FMABBO0200277720278  194 58114150175194
57FMABBO0200277720279  222 59110160199222
57FMABBO0200277720280  194 62104143181194
57FMABBO0200277720281  220 68100155195220
57FMABBO0200277720282  212 67128163195212
57FMABBO0200277720283  209 69 97131180209
57FMABBO0200277720284  228 66122170211228
57FMABBO0200277710285  219 65 88138172200219
57FMABBO0200277710286  220 59104142186203220
57FMABBO0200277720287  203 67111150187203
57FMABBO0200277720288  215 63110152188215
57FMABBO0200277700290  229 66124158188205216229
57FMABBO0200277720291  187 59120146169187
57FMABBO0200277720292  234 66118154202234
57FMABBO0200277720293  194 66103137175194
57FMABBO0200277710294  230 55 86137178215230
57FMABBO0200277720295  212 65122158190212
57FMABBO0200277720296  175 53 89123152175
57FMABBO0200277710297  223 68102126162201223
57FMABBO0200277720298  205 67 99145182205
57FMABBO0200277710299  219 66 96126165199219
57FMABBO0200277710300  213 72111145182205213
57FMABBO0200277720301  215 65125161198215
57FMABBO0200277710302  207 57106129172198207
57FMABBO0200277720303  213 60 97145184213
57FMABBO0200277720304  203 62125160190203
57FMABBO0200277720305  222 63126169205222
57FMABBO0200277720306  195 61 91131169195
57FMABBO0200277720307  213 61102157191213
57FMABBO0200277710308  228 55 85139172207228
57FMABBO0200277720309  194 65100136174194
57FMABBO0200277720310  196 69114150178196
57FMABBO0200277720311  190 54102141171190
57FMABBO0200277720312  230 66110163204230
57FMABBO0200277720314  191 58108143176191
57FMABBO0200277720315  213 62117160197213
57FMABBO0200277710316  231 67107130170212231
57FMABBO0200277720317  207 61112155192207
57FMABBO0200277710318  224 68104133169201224
57FMABBO0200277720319  208 56121166196208
57FMABBO0200277710320  210 56 87132163192210
57FMABBO0200277720321  197 65116157181197
57FMABBO0200277720322  239 79133179220239
57FMABBO0200277720323  199 56 89132170199
