57FMABBO0200180740152  240 73110147194218240
57FMABBO0200180720153  219 67 90123158175194209219
57FMABBO0200180730154  237 58 82111157184205237
57FMABBO0200180740155  234 61 92147184219234
57FMABBO0200180740156  215 69125150180201215
57FMABBO0200180740157  224 80128165192206224
57FMABBO0200180740158  213 74130167187198213
57FMABBO0200180720159  282 70 91118171222252266282
57FMABBO0200180740160  180 60 91122142156180
57FMABBO0200180740161  213 72130164189203213
57FMABBO0200180730162  231 68 89122166193212231
57FMABBO0200180750163  242 75128165207242
57FMABBO0200180740164  222 76113149179197222
57FMABBO0200180740165  206 61 94138164181206
57FMABBO0200180740166  212 75119152176196212
57FMABBO0200180740167  210 62 97139168184210
57FMABBO0200180740168  217 71123153176194217
57FMABBO0200180720169  238 73103140176202216228238
57FMABBO0200180740170  216 78109149190205216
57FMABBO0200180740171  169 55 94133150165169
57FMABBO0200180720172  233 70112152193206219225233
57FMABBO0200180750173  220 76129162190220
57FMABBO0200180720174  247 57115157200222230237247
57FMABBO0200180720175  225 72104144177201210217225
57FMABBO0200180720176  221 67107133150188206214221
57FMABBO0200180740177  246 71121167197220246
57FMABBO0200180730178  195 64 97131161176185195
57FMABBO0200180740179  194 58112158174180194
57FMABBO0200180730180  217 63 97147183194204217
57FMABBO0200180720181  247 75116160193203218236247
57FMABBO0200180750182  214 72118154191214
57FMABBO0200180740183  173 70115137154160173
57FMABBO0200180750184  200 75107161192200
57FMABBO0200180730185  177 69 94120139151166177
57FMABBO0200180740186  215 73128166187202215
57FMABBO0200180740187  210 78115155174192210
57FMABBO0200180720188  240 67100136180198215225240
57FMABBO0200180730189  233 72117168195211221233
57FMABBO0200180730190  215 53 83132160185201215
57FMABBO0200180720191  224 58 81111160196211218224
57FMABBO0200180750192  170 69 98130150170
57FMABBO0200180740193  205 74135161176186205
57FMABBO0200180750194  202 76112146174202
57FMABBO0200180720195  238 73113154183207216228238
57FMABBO0200180730196  202 65103135169185193202
57FMABBO0200180740197  200 65123161173189200
