"","year","area","mean_temp"
"150",2000,"VN",21.5398641952743
"151",2001,"BS",15.4459303460481
"152",2001,"BT",21.1131784869163
"153",2001,"FB",17.3254298793077
"154",2001,"FM",17.8121350924748
"155",2001,"HO",17.7339402539957
"156",2001,"JM",18.0251954023921
"157",2001,"MU",14.8534018611697
"158",2001,"SI_EK",14.3732477147872
"159",2001,"SI_HA",21.9964111196298
"160",2002,"BS",15.9591003165645
"161",2002,"BT",21.4913535902099
"162",2002,"FB",17.5972786361286
"163",2002,"FM",17.9181154536806
"164",2002,"HO",18.3053773385312
"165",2002,"JM",18.232094796248
"166",2002,"MU",15.645912189974
"167",2002,"RA",16.7613326826902
"168",2002,"SI_EK",14.6543828593338
"169",2002,"SI_HA",22.3145472717686
"170",2003,"BS",15.9814813189732
"171",2003,"BT",21.966320815623
"172",2003,"FB",17.7457245173743
"173",2003,"FM",17.9569653581508
"174",2003,"HO",18.3219688374916
"175",2003,"JM",18.4182903215498
"176",2003,"MU",15.7588973667705
"177",2003,"RA",16.7662765151435
"178",2003,"SI_EK",15.0604785623397
"179",2003,"SI_HA",22.7081944257092
"180",2004,"BS",15.5298701239938
"181",2004,"BT",22.4645270650599
"182",2004,"FB",17.7827775107423
"183",2004,"FM",17.9299981151845
"184",2004,"HO",17.8356486442159
"185",2004,"JM",18.5646686981741
"186",2004,"MU",15.3959575460192
"187",2004,"RA",16.7712220221782
"188",2004,"SI_EK",15.5267968987506
"189",2004,"SI_HA",23.1230459814953
"190",2005,"BS",14.8198408932004
"191",2005,"BT",22.9111054203443
"192",2005,"FB",17.7424792788631
"193",2005,"FM",17.846184496278
"194",2005,"HO",17.0757826745946
"195",2005,"JM",18.6579917985409
"196",2005,"MU",14.9932713058986
"197",2005,"RA",16.7761692377701
"198",2005,"SI_HA",23.4957779597179
"199",2006,"BS",14.2184702201903
"200",2006,"BT",23.2471960334274
"201",2006,"FB",17.6674023109384
"202",2006,"FM",17.7216950622215
"203",2006,"HO",16.3467896625695
"204",2006,"JM",18.6934798054046
"205",2006,"MU",14.878373842286
"206",2006,"SI_EK",16.3668774215065
"207",2006,"SI_HA",23.7631824555897
"208",2006,"TH",15.5760269142744
"209",2007,"BS",14.1610965552606
"210",2007,"BT",23.4427335561732
"211",2007,"FB",17.5948359727072
"212",2007,"FM",17.5786808088105
"213",2007,"HO",15.9042067351945
"214",2007,"JM",18.675690011598
"215",2007,"MU",15.118311960068
"216",2007,"RA",16.7860678703631
"217",2007,"SI_EK",16.6350230475685
"218",2007,"SI_HA",23.8720636659623
"219",2008,"BS",15.0547083435534
"220",2008,"FB",17.5467364548316
"221",2008,"FM",17.4429047914259
"222",2008,"HO",15.8600065183261
"223",2008,"JM",18.6175801833499
"224",2008,"MU",15.5620999485325
