57BTABBO 999983790149  206 63103175206                                          
57BTABBO 999983810150  113 78113                                                
57BTABBO 999983800151  148 70124148                                             
57BTABBO 999983800152  149 64123149                                             
57BTABBO 999983800153  143 70124143                                             
57BTABBO 999983800154  165 63128165                                             
57BTABBO 999983810155  109 74109                                                
57BTABBO 999983810156  111 72111                                                
57BTABBO 999983810157  106 66106                                                
57BTABBO 999983800158  134 63101134                                             
57BTABBO 999983801159  143 78123143                                             
57BTABBO 999983801160  137 75126137                                             
57BTABBO 999983801161  134 69105134                                             
57BTABBO 999983801162  144 71130144                                             
57BTABBO 999983810163  110 67110                                                
57BTABBO 999983800164  165 70131165                                             
57BTABBO 999983800165  153 73128153                                             
57BTABBO 999983810166  133 83133                                                
57BTABBO 999983800167  140 69118140                                             
57BTABBO 999983800168  152 67118152                                             
57BTABBO 999983800169  119 53 83119                                             
57BTABBO 999983810170  107 73107                                                
57BTABBO 999983810171  110 75110                                                
57BTABBO 999983810172  108 66108                                                
57BTABBO 999983810173  111 68111                                                
57BTABBO 999983810174  109 71109                                                
57BTABBO 999983810175  112 72112                                                
57BTABBO 999983810176  119 72119                                                
57BTABBO 999983810177  111 69111                                                
57BTABBO 999983800178  142 70120142                                             
57BTABBO 999983800179  135 73114135                                             
57BTABBO 999983810180  106 72106                                                
57BTABBO 999983790181  210 64111170210                                          
57BTABBO 999983810182  105 70105                                                
57BTABBO 999983810183  107 69107                                                
57BTABBO 999983810184  125 78125                                                
57BTABBO 999983800185  147 66121147                                             
57BTABBO 999983800186  160 65121160                                             
57BTABBO 999983810187  118 72118                                                
57BTABBO 999983810188  110 67110                                                
57BTABBO 999983800189  195 67140195                                             
57BTABBO 999983800190  150 68120150                                             
57BTABBO 999983800191  160 63119160                                             
57BTABBO 999983810192  114 75114                                                
57BTABBO 999983800193  135 55 99135                                             
57BTABBO 999983810194  129 81129                                                
57BTABBO 999983800195  159 70129159                                             
57BTABBO 999983800196  142 69129142                                             
57BTABBO 999983800197  149 66117149                                             
57BTABBO 999983770198  232 60 93146192223232                                    
57BTABBO 999983780199  239 59103154204239                                       
57BTABBO 999983800200  178 71140178                                             
57BTABBO 999983810201  115 70115                                                
57BTABBO 999983800202  196 71142196                                             
57BTABBO 999983790203  165 76109141165                                          
57BTABBO 999983800204  165 71133165                                             
57BTABBO 999983800205  164 62112164                                             
57BTABBO 999983800206  166 63129166                                             
57BTABBO 999983790207  196 70120180196                                          
57BTABBO 999983800208  150 62123150                                             
57BTABBO 999983800209  174 58114174                                             
57BTABBO 999983790210  155 51 91141155                                          
57BTABBO 999983790211  198 59101172198                                          
57BTABBO 999983800212  197 73138197                                             
57BTABBO 999983800213  176 70136176                                             
57BTABBO 999983790214  189 86136179189                                          
57BTABBO 999983800215  161 71126161                                             
57BTABBO 999983800216  164 62126164                                             
57BTABBO 999983780217  190 48110139180190                                       
57BTABBO 999983790218  179 60105165179                                          
57BTABBO 999983800219  144 60124144                                             
57BTABBO 999983800220  149 61125149                                             
57BTABBO 999983800221 +155 68130154                                             
57BTABBO 999983800222  149 66121149                                             
57BTABBO 999983800223  157 72130157                                             
57BTABBO 999983800224  173 66127173                                             
57BTABBO 999983810225  128 71128                                                
57BTABBO 999983800226  155 68122155                                             
57BTABBO 999983800227  138 60118138                                             
57BTABBO 999983780228  235 58 93141212235                                       
57BTABBO 999983760229  225 68100134170196218225                                 
57BTABBO 999983780230  204 72118165177204                                       
57BTABBO 999983780231  246 70118155202246                                       
57BTABBO 999983780232  243 64116174224243                                       
57BTABBO 999983760233 +231 67 92122148177201228                                 
57BTABBO 999983800234  161 73127161                                             
57BTABBO 999983790235  180 62105167180                                          
57BTABBO 999983800236  159 69125159                                             
57BTABBO 999983780237  220 66 98150197220                                       
57BTABBO 999983750238  392 55104146186224265327392                              

