Art;Stickprov metod;Fiskeår;Fångstdatum;Redskap kod;Löpnr;"Total
längd mm";Kön;Ålder;"Total
vikt";"Somatisk
vikt";Somatisk vikttyp;Fiske;;Lokal;Godkänd ålder;"Gonad
statuskod";"Gonad
statustyp";"Tillväxt 
mm år 1";År2;År3;År4;År5;År6;År7;År8;År9;År10;År11;År12;År13;År14;År15;År16;År17;År18;År19;År20
Abborre;Insamling av 200 honor;2019;2019-10-04;K052;440;158;Hona;1;41;39;Totalvikt exkl. mage,tarmar,gonad;Nätlänk oktober;;Kvädöfjärden;JA;1;Könsstatus, vanlig fyrgradig skala;113;;;;;;;;;;;;;;;;;;;
Abborre;Insamling av 200 honor;2019;2019-10-04;K052;441;154;Hona;1;42;40;Totalvikt exkl. mage,tarmar,gonad;Nätlänk oktober;;Kvädöfjärden;JA;1;Könsstatus, vanlig fyrgradig skala;90;;;;;;;;;;;;;;;;;;;
Abborre;Insamling av 200 honor;2019;2019-10-04;K052;442;220;Hona;3;122;117;Totalvikt exkl. mage,tarmar,gonad;Nätlänk oktober;;Kvädöfjärden;JA;1;Könsstatus, vanlig fyrgradig skala;66;108;179;;;;;;;;;;;;;;;;;
Abborre;Insamling av 200 honor;2019;2019-10-04;K052;443;169;Hona;1;55;52;Totalvikt exkl. mage,tarmar,gonad;Nätlänk oktober;;Kvädöfjärden;JA;1;Könsstatus, vanlig fyrgradig skala;103;;;;;;;;;;;;;;;;;;;
Abborre;Insamling av 200 honor;2019;2019-10-04;K052;444;158;Hona;1;43;40;Totalvikt exkl. mage,tarmar,gonad;Nätlänk oktober;;Kvädöfjärden;JA;1;Könsstatus, vanlig fyrgradig skala;93;;;;;;;;;;;;;;;;;;;
Abborre;Insamling av 200 honor;2019;2019-10-04;K052;445;187;Hona;1;73;67;Totalvikt exkl. mage,tarmar,gonad;Nätlänk oktober;;Kvädöfjärden;JA;1;Könsstatus, vanlig fyrgradig skala;121;;;;;;;;;;;;;;;;;;;
Abborre;Insamling av 200 honor;2019;2019-10-04;K052;446;151;Hona;1;37;33;Totalvikt exkl. mage,tarmar,gonad;Nätlänk oktober;;Kvädöfjärden;JA;1;Könsstatus, vanlig fyrgradig skala;104;;;;;;;;;;;;;;;;;;;
Abborre;Insamling av 200 honor;2019;2019-10-04;K052;447;171;Hona;1;50;48;Totalvikt exkl. mage,tarmar,gonad;Nätlänk oktober;;Kvädöfjärden;JA;1;Könsstatus, vanlig fyrgradig skala;123;;;;;;;;;;;;;;;;;;;
Abborre;Insamling av 200 honor;2019;2019-10-04;K052;448;152;Hona;1;39;37;Totalvikt exkl. mage,tarmar,gonad;Nätlänk oktober;;Kvädöfjärden;JA;1;Könsstatus, vanlig fyrgradig skala;105;;;;;;;;;;;;;;;;;;;
Abborre;Insamling av 200 honor;2019;2019-10-04;K052;449;157;Hona;1;39;36;Totalvikt exkl. mage,tarmar,gonad;Nätlänk oktober;;Kvädöfjärden;JA;1;Könsstatus, vanlig fyrgradig skala;107;;;;;;;;;;;;;;;;;;;
Abborre;Insamling av 200 honor;2019;2019-10-04;K052;450;157;Hona;1;39;36;Totalvikt exkl. mage,tarmar,gonad;Nätlänk oktober;;Kvädöfjärden;JA;1;Könsstatus, vanlig fyrgradig skala;109;;;;;;;;;;;;;;;;;;;
Abborre;Insamling av 200 honor;2019;2019-10-07;K052;451;204;Hona;1;110;101;Totalvikt exkl. mage,tarmar,gonad;Nätlänk oktober;;Kvädöfjärden;JA;1;Könsstatus, vanlig fyrgradig skala;126;;;;;;;;;;;;;;;;;;;
Abborre;Insamling av 200 honor;2019;2019-10-07;K052;452;153;Hona;1;40;37;Totalvikt exkl. mage,tarmar,gonad;Nätlänk oktober;;Kvädöfjärden;JA;1;Könsstatus, vanlig fyrgradig skala;91;;;;;;;;;;;;;;;;;;;
